doctor_id,first_name,last_name,phone,specialization,birth_date,salary,join_date,department_id
1,Christopher,Anderson,2743790290,Child psychotherapist,1977-10-07,32326,2022-06-25,27
2,Ryan,Shaw,001-434-594-4677x434,Podiatrist,1989-08-12,47418,2025-08-31,14
3,Timothy,Galvan,(768)497-9914x53579,"Designer, exhibition/display",1985-07-11,25566,2021-12-13,4
4,Scott,Lindsey,883.944.6911x67859,Neurosurgeon,1988-08-21,14651,2023-01-28,50
5,Rebecca,Nguyen,+1-887-420-2429x17834,Dispensing optician,1983-09-11,33619,2021-06-02,25
6,Tammy,Bradley,556-283-5854x55024,Analytical chemist,1996-01-20,48112,2021-12-25,33
7,William,Harris,001-622-211-5838,"Psychologist, occupational",1978-09-23,27018,2025-12-10,28
8,John,Torres,984.502.1472,"Engineer, drilling",1995-05-18,42440,2024-02-10,27
9,Pamela,Choi,+1-778-972-9828x6101,Actor,1985-04-15,21827,2024-12-29,16
10,Rachel,Jones,+1-207-957-6288x159,Chief of Staff,1983-07-21,27910,2026-03-25,15
11,Michael,Simmons,476.911.2634,"Nurse, children's",1995-06-21,16676,2024-05-04,39
12,Gregory,Riggs,(216)844-6951x8663,Emergency planning/management officer,1961-02-24,49277,2021-09-29,41
13,Amy,Silva,(710)669-2511,Hydrologist,1971-07-23,40061,2022-01-30,50
14,Christopher,Hester,+1-458-942-8184x90476,Building surveyor,1992-09-11,38234,2023-09-11,49
15,Jack,Hogan,413.418.8800,"Teacher, adult education",1986-11-11,37963,2022-12-19,44
16,Nicole,Garner,(812)560-3077,Building control surveyor,1977-04-24,18776,2022-05-10,12
17,George,Gibson,463-371-8791x57590,Broadcast journalist,1988-11-21,17932,2024-02-02,30
18,Christopher,Thompson,832.576.4049x9919,Trade union research officer,1977-09-04,42628,2021-04-19,35
19,Reginald,Mendoza,+1-205-384-2656x486,Airline pilot,1972-09-17,37040,2020-10-02,1
20,Bonnie,Lee,463-282-2910,Economist,1985-01-10,35123,2024-10-24,38
21,Gina,Knight,(486)531-3053x619,Bonds trader,1964-07-12,31176,2025-08-16,21
22,James,Anderson,(866)870-3235x900,Scientific laboratory technician,1984-05-30,30222,2022-06-18,9
23,Grace,Whitney,+1-782-825-7878x13930,Data processing manager,1992-01-01,28330,2023-03-17,42
24,Joseph,Willis,(572)823-1630x0330,"Programme researcher, broadcasting/film/video",1974-01-07,33757,2023-02-06,47
25,Rachel,Weber,256.930.8350x4226,Artist,1975-04-02,35202,2022-05-17,32
26,Sherri,Mendoza,379.399.7315,"Designer, blown glass/stained glass",1987-07-15,16729,2025-12-17,26
27,Kyle,Hess,272-371-2465x380,Firefighter,1967-09-07,47699,2021-10-03,26
28,David,Mata,001-486-296-0858x6704,Pathologist,1982-09-28,15368,2023-01-22,42
29,Cynthia,Watts,001-663-744-0441x724,Technical sales engineer,1980-11-27,33215,2025-04-03,44
30,Katherine,Gaines,001-376-387-3572,Physiotherapist,1976-06-03,28736,2022-09-13,43
31,Gary,Kramer,708.568.3331x7422,"Conservation officer, historic buildings",1967-10-06,44273,2023-05-12,38
32,Phillip,Jones,901-324-0197x455,Equality and diversity officer,1976-10-08,19050,2025-10-24,30
33,James,Mckinney,001-487-225-1256x19819,"Scientist, research (maths)",1963-05-23,26891,2022-04-10,11
34,Frederick,Larson,(382)420-5139,"Teacher, English as a foreign language",1991-08-16,40529,2020-10-03,21
35,Isaac,Stevens,+1-266-855-6845,"Accountant, chartered public finance",1985-07-23,48542,2024-06-03,39
36,Preston,Oconnor,402.417.6332x458,Occupational hygienist,1976-10-09,49145,2021-06-25,35
37,Ian,Gould,263.945.1817x07445,Clinical psychologist,1988-09-10,49253,2024-04-05,17
38,David,Wallace,001-305-280-0968x792,Systems developer,1961-09-22,21569,2020-07-29,46
39,Vincent,Williams,336.259.2383,Broadcast engineer,1992-03-05,46326,2025-12-23,24
40,Tammy,Martinez,+1-699-523-4227x771,Media planner,1978-07-24,11234,2022-03-18,50
41,James,White,+1-685-383-7635x38876,Secretary/administrator,1978-01-24,34417,2021-08-07,17
42,Kayla,Patel,(576)659-2405,Chartered management accountant,1995-01-16,11966,2024-05-23,3
43,Michael,Garrett,(753)220-5632,Administrator,1995-07-28,21752,2020-09-17,9
