doctor_id,first_name,last_name,phone,specialization,birth_date,salary,join_date,department_id
1,Ch****,An****,27****,Child psychotherapist,1977-10-07,32****,2022-06-25,27
2,Ry****,Sh****,00****,Podiatrist,1989-08-12,47****,2025-08-31,14
3,Ti****,Ga****,(7****,"Designer, exhibition/display",1985-07-11,25****,2021-12-13,4
4,Sc****,Li****,88****,Neurosurgeon,1988-08-21,14****,2023-01-28,50
5,Re****,Ng****,+1****,Dispensing optician,1983-09-11,33****,2021-06-02,25
6,Ta****,Br****,55****,Analytical chemist,1996-01-20,48****,2021-12-25,33
7,Wi****,Ha****,00****,"Psychologist, occupational",1978-09-23,27****,2025-12-10,28
8,Jo****,To****,98****,"Engineer, drilling",1995-05-18,42****,2024-02-10,27
9,Pa****,Ch****,+1****,Actor,1985-04-15,21****,2024-12-29,16
10,Ra****,Jo****,+1****,Chief of Staff,1983-07-21,27****,2026-03-25,15
11,Mi****,Si****,47****,"Nurse, children's",1995-06-21,16****,2024-05-04,39
12,Gr****,Ri****,(2****,Emergency planning/management officer,1961-02-24,49****,2021-09-29,41
13,Am****,Si****,(7****,Hydrologist,1971-07-23,40****,2022-01-30,50
14,Ch****,He****,+1****,Building surveyor,1992-09-11,38****,2023-09-11,49
15,Ja****,Ho****,41****,"Teacher, adult education",1986-11-11,37****,2022-12-19,44
16,Ni****,Ga****,(8****,Building control surveyor,1977-04-24,18****,2022-05-10,12
17,Ge****,Gi****,46****,Broadcast journalist,1988-11-21,17****,2024-02-02,30
18,Ch****,Th****,83****,Trade union research officer,1977-09-04,42****,2021-04-19,35
19,Re****,Me****,+1****,Airline pilot,1972-09-17,37****,2020-10-02,1
20,Bo****,Le****,46****,Economist,1985-01-10,35****,2024-10-24,38
21,Gi****,Kn****,(4****,Bonds trader,1964-07-12,31****,2025-08-16,21
22,Ja****,An****,(8****,Scientific laboratory technician,1984-05-30,30****,2022-06-18,9
23,Gr****,Wh****,+1****,Data processing manager,1992-01-01,28****,2023-03-17,42
24,Jo****,Wi****,(5****,"Programme researcher, broadcasting/film/video",1974-01-07,33****,2023-02-06,47
25,Ra****,We****,25****,Artist,1975-04-02,35****,2022-05-17,32
26,Sh****,Me****,37****,"Designer, blown glass/stained glass",1987-07-15,16****,2025-12-17,26
27,Ky****,He****,27****,Firefighter,1967-09-07,47****,2021-10-03,26
28,Da****,Ma****,00****,Pathologist,1982-09-28,15****,2023-01-22,42
29,Cy****,Wa****,00****,Technical sales engineer,1980-11-27,33****,2025-04-03,44
30,Ka****,Ga****,00****,Physiotherapist,1976-06-03,28****,2022-09-13,43
31,Ga****,Kr****,70****,"Conservation officer, historic buildings",1967-10-06,44****,2023-05-12,38
32,Ph****,Jo****,90****,Equality and diversity officer,1976-10-08,19****,2025-10-24,30
33,Ja****,Mc****,00****,"Scientist, research (maths)",1963-05-23,26****,2022-04-10,11
34,Fr****,La****,(3****,"Teacher, English as a foreign language",1991-08-16,40****,2020-10-03,21
35,Is****,St****,+1****,"Accountant, chartered public finance",1985-07-23,48****,2024-06-03,39
36,Pr****,Oc****,40****,Occupational hygienist,1976-10-09,49****,2021-06-25,35
37,Ia****,Go****,26****,Clinical psychologist,1988-09-10,49****,2024-04-05,17
38,Da****,Wa****,00****,Systems developer,1961-09-22,21****,2020-07-29,46
39,Vi****,Wi****,33****,Broadcast engineer,1992-03-05,46****,2025-12-23,24
40,Ta****,Ma****,+1****,Media planner,1978-07-24,11****,2022-03-18,50
41,Ja****,Wh****,+1****,Secretary/administrator,1978-01-24,34****,2021-08-07,17
42,Ka****,Pa****,(5****,Chartered management accountant,1995-01-16,11****,2024-05-23,3
43,Mi****,Ga****,(7****,Administrator,1995-07-28,21****,2020-09-17,9
44,De****,Ev****,00****,"Engineer, materials",1965-09-17,30****,2026-01-01,39
45,Br****,Sa****,(6****,Surgeon,1978-06-28,49****,2023-04-22,9
46,An****,Br****,00****,Special effects artist,1986-05-08,45****,2022-10-19,27
47,Ma****,Go****,00****,Location manager,1989-03-03,22****,2022-09-14,45
48,Ma****,Te****,95****,Advertising account executive,1968-04-18,49****,2021-12-30,43
49,Ed****,Jo****,44****,Museum/gallery curator,1977-03-09,18****,2021-11-12,29
50,Wi****,He****,33****,Landscape architect,1986-09-17,44****,2023-11-16,6
51,Ti****,Ry****,(4****,"Engineer, control and instrumentation",1962-05-21,39****,2020-04-26,2
52,Le****,La****,64****,"Psychologist, sport and exercise",1989-11-06,49****,2022-04-17,50
53,An****,Ni****,37****,Prison officer,1975-08-02,15****,2025-01-10,41
54,An****,Gu****,+1****,Systems developer,1966-09-21,17****,2021-11-15,2
55,Pa****,Jo****,00****,Make,1988-03-22,28****,2020-09-05,23
56,Jo****,Pe****,57****,"Secretary, company",1990-03-05,45****,2021-08-29,22
57,Co****,To****,71****,Barrister's clerk,1966-03-04,36****,2023-06-11,8
58,Ry****,Pe****,94****,Solicitor,1991-11-19,39****,2025-10-29,2
59,Sa****,Ma****,71****,Commercial art gallery manager,1969-08-30,23****,2024-03-28,3
60,Na****,Ro****,00****,TEFL teacher,1979-06-07,34****,2023-10-08,27
61,So****,Si****,(5****,Operational researcher,1975-09-23,36****,2020-05-16,32
62,Ph****,Gr****,+1****,Event organiser,1966-01-10,44****,2022-05-02,38
63,Je****,He****,39****,"Engineer, energy",1974-08-12,40****,2020-08-08,9
